1,P1,1
2,P-1,-1
3,P121,2
4,P12_11,2_1
5,C121,2
6,P1m1,m
7,P1c1,c
8,C1m1,m
9,C1c1,c
10,P12/m1,2,m
11,P12_1/m1,2_1,m
12,C12/m1,2,m
13,P12/c1,2,c
14,P12_1/c1,2_1,c
15,C12/c1,2,c
16,P222,2
17,P222_1,2,2_1
18,P2_12_12,2_1,2
19,P2_12_12_1,2_1
20,C222_1,2_1,2
21,C222,2
22,F222,2
23,I222,2
24,I2_12_12_1,2_1
25,Pmm2,m,2
26,Pmc2_1,m,c,2_1
27,Pcc2,c,2
28,Pma2,m,a,2
29,Pca2_1,c,a,2_1
30,Pnc2,n,c,2
31,Pmn2_1,m,n,2_1
32,Pba2,b,a,2
33,Pna2_1,n,a,2_1
34,Pnn2,n,2
35,Cmm2,m,2
36,Cmc2_1,m,c,2_1
37,Ccc2,c,2
38,Amm2,m,2
39,Aem2,e,m,2
40,Ama2,m,a,2
41,Aea2,e,a,2
42,Fmm2,m,2
43,Fdd2,d,2
44,Imm2,m,2
45,Iba2,b,a,2
46,Ima2,m,a,2
47,Pmmm,m
48,Pnnn,n
49,Pccm,c,m
50,Pban,b,a,n
51,Pmma,m,a
52,Pnna,n,a
53,Pmna,m,n,a
54,Pcca,c,a
55,Pbam,b,a,m
56,Pccn,c,n
57,Pbcm,b,c,m
58,Pnnm,n,m
59,Pmmn,m,n
60,Pbcn,b,c,n
61,Pbca,b,c,a
62,Pnma,n,m,a
63,Cmcm,m,c
64,Cmce,m,c,e
65,Cmmm,m
66,Cccm,c,m
67,Cmme,m,e
68,Ccce,c,e
69,Fmmm,m
70,Fddd,d
71,Immm,m
72,Ibam,b,a,m
73,Ibca,b,c,a
74,Imma,m,a
75,P4,4
76,P4_1,4_1
77,P4_2,4_2
78,P4_3,4_3
79,I4,4
80,I4_1,4_1
81,P-4,-4
82,I-4,-4
83,P4/m,4,m
84,P4_2/m,4_2,m
85,P4/n1,4,n
86,P4_2/n,4_2,n
87,I4/m,4,m
88,I4_1/a,4_1,a
89,P422,4,2
90,P42_12,4,2_1,2
91,P4_122,4_1,2
92,P4_12_12,4_1,2_1,2
93,P4_222,4_2,2
94,P4_22_12,4_2,2_1,2
95,P4_322,4_3,2
96,P4_32_12,4_3,2_1,2
97,I422,4,2
98,I4_122,4_1,2
99,P4mm,4,m
100,P4bm,4,b,m
101,P4_2cm,4_2,c,m
102,P4_2nm,4_2,n,m
103,P4cc,4,c
104,P4nc,4,n,c
105,P4_2mc,4_2,m,c
106,P4_2bc,4_2,b,c
107,I4mm,4,m
108,I4cm,4,c,m
109,I4_1md,4_1,m,d
110,I4_1cd,4_1,c,d
111,P-42m,-4,2,m
112,P-42c,-4,2,c
113,P-42_1m,-4,2_1,m
114,P-42_1c,-4,2_1,c
115,P-4m2,-4,m,2
116,P-4c2,-4,c,2
117,P-4b2,-4,b,2
118,P-4n2,-4,n,2
119,I-4m2,-4,m,2
120,I-4c2,-4,c,2
121,I-42m,-4,2,m
122,I-42d,-4,2,d
123,P4/mmm,4,m
124,P4/mcc,4,m,c
125,P4/nbm1,4,n,b,m
126,P4/nnc1,4,n,c
127,P4/mbm,4,m,b
128,P4/mnc,4,m,n,c
129,P4/nmm1,4,n,m
130,P4/ncc1,4,n,c
131,P4_2/mmc,4_2,m,c
132,P4_2/mcm,4_2,m,c
133,P4_2/nbc,4_2,n,b,c
134,P4_2/nnm,,4_2,n,m
135,P4_2/mbc,4_2,m,b,c
136,P4_2/mnm,4_2,n,m
137,P4_2/nmc,4_2,n,m,c
138,P4_2/ncm,4_2,n,c,m
139,I4/mmm,4,m
140,I4/mcm,4,m,c
141,I4_1/amd,4_1,a,m,d
142,I4_1/acd,4_1,a,c,d
143,P3,3
144,P3_1,3_1
145,P3_2,3_2
146,R3,3
147,P-3,-3
148,R-3,-3
149,P312,3,2
150,P321,3,2
151,P3_112,3_1,2
152,P3_121,3_1,2
153,P3_212,3_2,2
154,P3_221,3_2,2
155,R32,3,2
156,P3m1,3,m
157,P31m,3,m
158,P3c1,3,c
159,P31c,3,c
160,R3m,3,m
161,R3c,3,c
162,P-31m,-3,m
163,P-31c,-3,c
164,P-3m1,-3,m
165,P-3c1,-3,c
166,R-3m,-3,m
167,R-3c,-3,c
168,P6,6
169,P6_1,6_1
170,P6_5,6_5
171,P6_2,6_2
172,P6_4,6_4
173,P6_3,6_3
174,P-6,-6
175,P6/m,6,m
176,P6_3/m,6_3,m
177,P622,6,2
178,P6_122,6_1,2
179,P6_522,6_5,2
180,P6_222,6_2,2
181,P6_422,6_4,2
182,P6_322,6_3,2
183,P6mm,6,m
184,P6cc,6,c
185,P6_3cm,6_3,c,m
186,P6_3mc,6_3,m,c
187,P-6m2,-6,m,2
188,P-6c2,-6,c,2
189,P-62m,-6,2,m
190,P-62c,-6,2,c
191,P6/mmm,6,m
192,P6/mcc,6,m,c
193,P6_3/mcm,6_3,m,c
194,P6_3/mmc,6_3,m,c
195,P23,2,3
196,F23,2,3
197,I23,2,3
198,P2_13,2_1,3
199,I2_13,2_1,3
200,Pm-3,m,-3
201,Pn-31,n,-3
202,Fm-3,m,-3
203,Fd-31,d,-3
204,Im-3,m,-3
205,Pa-3,a,-3
206,Ia-3,a,-3
207,P432,4,3,2
208,P4_232,4_2,3,2
209,F432,4,3,2
210,F4_132,4_1,3,2
211,I432,4,3,2
212,P4_332,4_3,3,2
213,P4_132,4_1,3,2
214,I4_132,4_1,3,2
215,P-43m,-4,3,m
216,F-43m,-4,3,m
217,I-43m,-4,3,m
218,P-43n,-4,3,n
219,F-43c,-4,3,c
220,I-43d,-4,3,d
221,Pm-3m,m,-3
222,Pn-3n,n,-3
223,Pm-3n,m,-3,n
224,Pn-3m,m,-3,n
225,Fm-3m,m,-3
226,Fm-3c,m,-3,c
227,Fd-3m,m,-3,d
228,Fd-3c,c,-3,d
229,Im-3m,m,-3
230,Ia-3d,a,-3,d
